study_ID,long_cite,bibtex_cite,year,expt_num,author_disciplines,AUTHOR_DISCIPLINE_1,AUTHOR_DISCIPLINE_2,AUTHOR_DISCIPLINE_3,study_type,psychological_target_outcome,PSY_TARGET_OUTCOME_CODE,psychological_measured_outcome,application_scenario,APPL_SCENARIOS_CODE,exp_type,number_of_sessions,NUMB_SESSIONS_CODE,N,study_design,notes_design,target_population,age_range,mean_age,gender,NB_CODE,FEMALE_CODE,MALE_CODE,sex_vs_gender,language,country,COUNTRY_CODE,notes_population,robot_model_1,robot_model_2,robot_model_3,robot_model_4,robot_model_5,robot_interactivity,observing_interacting,robot_operation,other_technologies,affect_behavior_generation_capabilities,generation_autonomy_level,affect_perception_capabilities,perception_autonomy_level,technological,design,ethical,affective,others (emp-study),inclusion_of_clinical_practice,theories_grounded,notes_others,notes_theories_grounded_implementation,data_collection_method,evaluation_method,notes_methods,computation_model_approaches,design_stakeholder_involvement,design_involved_stakeholders,design_method,ethical_user_safety,ethical_societal,ethical_implication_discussed,notes,ethical_external,ethical_internal,eligibility_decision,notes_elegibility_decision
P582,"Paauwe, R. A., Keyson, D. V., Hoorn, J. F., & Konijn, E. A. (2015, April). Minimal requirements of realism in social robots: designing for patients with acquired brain injury. In Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems (pp. 2139-2144).","@inproceedings{paauwe2015minimal,
  title={Minimal requirements of realism in social robots: designing for patients with acquired brain injury},
  author={Paauwe, Robert A and Keyson, David V and Hoorn, Johan F and Konijn, Elly A},
  booktitle={Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems},
  pages={2139--2144},
  year={2015}
}",2015,1,"VU University Amsterdam, Delft University of Technology",N.R.,,,QUAL,acquired brain injury (ABI) support,multiple targets,N/A,acquired brain injury support,HEALTH,FOCUS GROUP,3 (number of focus groups),<=10,34,focus group,23 patients with ABI and 11 healthcare professionals,acquired brain injury,"25, 67",N.R. ,"M20, F14",0,14,20,N.R.,Dutch,Netherlands,Western Europe,"robot name is Polygon. it is only a ""visual stimulus""",CUSTOM,N/A,N/A,N/A,N/A,prototype,observing,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,1,,focus group with clinicians and sufferers,FOCUS GROUP,theme identification,not a rigorous method referenced,N/A,user-centred,"ABI patients, clinicians","prototype, focus group",N.R.,N.R.,0,,0,0,Y,
P583,"Briggs, P., Scheutz, M., & Tickle-Degnen, L. (2015, March). Are robots ready for administering health status surveys' first results from an hri study with subjects with parkinson's disease. In Proceedings of the tenth annual acm/ieee international conference on human-robot interaction (pp. 327-334).","@inproceedings{briggs2015robots,
  title={Are robots ready for administering health status surveys' first results from an hri study with subjects with parkinson's disease},
  author={Briggs, Priscilla and Scheutz, Matthias and Tickle-Degnen, Linda},
  booktitle={Proceedings of the tenth annual acm/ieee international conference on human-robot interaction},
  pages={327--334},
  year={2015}
}",2015,1,"HRI Laboratory
Dept. of Computer Science
Tufts University",CS,,,MULTI (MIXED),parkinson's disease,multiple targets,N/A,mediation between patient and caregiver,SOCIAL,N.R.,1,SINGLE,13,within-subject,,Parkinson's disease,N.R.,67.77,N.R.,N.R.,N.R.,N.R.,N/A,english,USA,North America,,NAO,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N.R.,N/A,N.R.,N/A,0,1,0,0,1,1,1,empirical study,using parkinson's disease questionnaire (PDQ-39),MIXED,questionnaires and interviews,,N/A,N.R.,N/A,N/A,N/A,N/A,0,,0,1,Y,
P587,"Magyar, G., & Vircikova, M. (2015). Socially-assistive emotional robot that learns from the wizard during the interaction for preventing low back pain in children. In Social Robotics: 7th International Conference, ICSR 2015, Paris, France, October 26-30, 2015, Proceedings 7 (pp. 411-420). Springer International Publishing.","@inproceedings{magyar2015socially,
  title={Socially-assistive emotional robot that learns from the wizard during the interaction for preventing low back pain in children},
  author={Magyar, Gergely and Vircikova, Maria},
  booktitle={Social Robotics: 7th International Conference, ICSR 2015, Paris, France, October 26-30, 2015, Proceedings 7},
  pages={411--420},
  year={2015},
  organization={Springer}
}",2015,1,"Department of Cybernetics and Artificial Intelligence, Faculty of Electrical Engineering and Informatics, Center for Intelligent Technologies, Technical University of Kosice, Kosice, Slovakia",CS,,,SYSTEM,back pain in children,multiple targets,N/A,preventing low back pain in children,HEALTH,SYSTEM EVALUATION,N/A,N/A,N/A,N/A,,children,N/A,N/A,N/A,0,0,0,N/A,N/A,Slovakia,Eastern Europe ,,NAO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,emotional expression,WoZ,N.R.,N.R.,0,1,0,1,,0,N/A,,,OBSERVATIONS,expert evaluation of interest,,ALGORITHM,user-centred,professional therapist created exercises,professional consulting,N.R.,N.R.,0,,0,0,Y,the paper is very short and not very detailed. it mainly describes previous work but adds a short evaluation of algorithm performances as evaluated by an expert observer (observing participants' interest)
P588,"Ishak, D., & Nathan-Roberts, D. (2015, September). Analysis of elderly human-robot team trust models. In Proceedings of the Human Factors and Ergonomics Society Annual Meeting (Vol. 59, No. 1, pp. 65-69). Sage CA: Los Angeles, CA: SAGE Publications.","@inproceedings{ishak2015analysis,
  title={Analysis of elderly human-robot team trust models},
  author={Ishak, Danielle and Nathan-Roberts, Dan},
  booktitle={Proceedings of the Human Factors and Ergonomics Society Annual Meeting},
  volume={59},
  number={1},
  pages={65--69},
  year={2015},
  organization={SAGE Publications Sage CA: Los Angeles, CA}
}",2015,0,1San Jose State University Department of Industrial and Systems Engineering,ENG,,,THEOR,home-health ,multiple targets,N/A,home-health,SOCIAL,SYSTEM EVALUATION,N/A,N/A,N/A,N/A,evaluating system with SEIPS 2.0 framework,elderly,N/A,N/A,N/A,0,0,0,N/A,N/A,USA,North America,,PR2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,1,1,0,1,theoretical,"trust in HRI: transparency, feedback, emotional theory",N/A,evaluation with framework,,N/A,N/A,N/A,N/A,N/A,N/A,0,,N/A,N/A,Y,
P589,"Peltonen, O., Orhanen, S., Venäläinen, J., Auvinen, M., Sepponen, R., Kiviluoma, P., & Kuosmanen, P. (2015). Development of a Nurturance Evoking Robot. In 10th International DAAAM Baltic Conference"" INDUSTRIAL ENGINEERING"", 12-13th May 2015, Tallinn, ESTONIA (pp. 174-179). Tallinn University of Technology.","@inproceedings{peltonen2015development,
  title={Development of a Nurturance Evoking Robot},
  author={Peltonen, Olavi and Orhanen, Samppa and Ven{\""a}l{\""a}inen, Janne and Auvinen, Matti and Sepponen, Raimo and Kiviluoma, Panu and Kuosmanen, Petri},
  booktitle={10th International DAAAM Baltic Conference"" INDUSTRIAL ENGINEERING"", 12-13th May 2015, Tallinn, ESTONIA},
  pages={174--179},
  year={2015},
  organization={Tallinn University of Technology}
}",2015,1,"Panu Kiviluoma, D.Sc. (Tech), Post-doc
researcher
Aalto University School of Engineering
Department of Engineering Design and
Production",ENG,,,QUANT,nurturing,multiple targets,N/A,eldercare,HEALTH,retirement complex,1,SINGLE,8,single session,brief pilot study with 5-10 minutes interaction to validate system design,elderly,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,Finland,Northern Europe,,CUSTOM,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,"express emotion with neck, ears, nose, tail, vibration and sound",A,N/A,N/A,1,0,0,0,,0,0,,,QUESTIONNAIRES,descriptive statistics,,STATE MACHINE,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P590,"Šabanović, S., Chang, W. L., Bennett, C. C., Piatt, J. A., & Hakken, D. (2015). A robot of my own: participatory design of socially assistive robots for independently living older adults diagnosed with depression. In Human Aspects of IT for the Aged Population. Design for Aging: First International Conference, ITAP 2015, Held as Part of HCI International 2015, Los Angeles, CA, USA, August 2-7, 2015. Proceedings, Part I 1 (pp. 104-114). Springer International Publishing.","@inproceedings{vsabanovic2015robot,
  title={A robot of my own: participatory design of socially assistive robots for independently living older adults diagnosed with depression},
  author={{\v{S}}abanovi{\'c}, Selma and Chang, Wan-Ling and Bennett, Casey C and Piatt, Jennifer A and Hakken, David},
  booktitle={Human Aspects of IT for the Aged Population. Design for Aging: First International Conference, ITAP 2015, Held as Part of HCI International 2015, Los Angeles, CA, USA, August 2-7, 2015. Proceedings, Part I 1},
  pages={104--114},
  year={2015},
  organization={Springer}
}",2015,1,"1
School of Informatics and Computing, Indiana University, Bloomington, USA 2 Centerstone Research Institute, Bloomington, USA 3 School of Public Health, Indiana University, Bloomington, USA",CS,MED,,PARTICIPATORY DESIGN,depression in elderly,psychopathology,N/A,home,MENTAL,FOCUS GROUP,3,<=10,5,focus group,interview and 2 workshops,mixed-elderly,"58, 71",N.R.,"M3, F2",0,2,3,N.R.,english,USA,North America,robots were used to demo,PARO,Roomba,MugBot,Keepon,N/A,physical,interacting,N.R.,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,0,0,,N/A,FOCUS GROUP,thematic analysis,N/A,N/A,PD,"older adults with clinical depression, target group","interviews, workshop with demos, discussion, showing scratch programming language to program robots, drawing, storyboarding",N.R.,N.R.,0,,0,0,Y,
P591,"Law, P. L. (2015). Social robotics in health-care service: the case of rehabilitation programmes in Hong Kong. Social Robots from a Human Perspective, 55-65.","@article{law2015social,
  title={Social robotics in health-care service: the case of rehabilitation programmes in Hong Kong},
  author={Law, Pui-lam},
  journal={Social Robots from a Human Perspective},
  pages={55--65},
  year={2015},
  publisher={Springer}
}",2015,0,"The Hong Kong Polytechnic University, Hong Kong, China",N.R.,,,CRITIQUE,N/A,N/A,N/A,eldercare,HEALTH,N/A,N/A,N/A,N/A,N/A,N/A,elderly,N/A,N/A,N/A,0,0,0,N/A,N/A,"Hong Kong, China",Multi-national,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,N/A,N/A,not clear what this contribution is about (not a study),,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,0,,N/A,N/A,Y,it's a critique of other studies but I'm not 100% sure what the contribution is exactly
P593,"Van Kemenade, M. A., Konijn, E. A., & Hoorn, J. F. (2015, January). Robots humanize care. In Proceedings of the International Joint Conference on Biomedical Engineering Systems and Technologies-Volume 5 (pp. 648-653).","@inproceedings{van2015robots,
  title={Robots humanize care},
  author={Van Kemenade, MA and Konijn, Elly A and Hoorn, Johan F},
  booktitle={Proceedings of the International Joint Conference on Biomedical Engineering Systems and Technologies-Volume 5},
  pages={648--653},
  year={2015}
}",2015,1,"1
Center for Advanced Media Research Amsterdam, VU University Amsterdam, De Boelelaan 1081, Amsterdam,
Netherlands 2
Department of Communication Science, Media Psychology, VU University Amsterdam, Amsterdam, Netherlands",CS,PSY,,QUAL,elderly care,eldercare,N/A,clinical,HEALTH,FOCUS GROUP,1,SINGLE,43,focus group,care professionals recruited,elderly,"18, 67",N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,dutch,Netherlands,Western Europe,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,0,,1,0,,,FOCUS GROUP,N.R.,coding of utterances but method not specified,N/A,N/A,N/A,N/A,"maleficence, physical, emotional",N.R.,1,,0,0,Y,paper makes broad conclusions without really supporting through rigorous analysis but it is relevant to our review
P593,"Van Kemenade, M. A., Konijn, E. A., & Hoorn, J. F. (2015, January). Robots humanize care. In Proceedings of the International Joint Conference on Biomedical Engineering Systems and Technologies-Volume 5 (pp. 648-653).","@inproceedings{van2015robots,
  title={Robots humanize care},
  author={Van Kemenade, MA and Konijn, Elly A and Hoorn, Johan F},
  booktitle={Proceedings of the International Joint Conference on Biomedical Engineering Systems and Technologies-Volume 5},
  pages={648--653},
  year={2015}
}",2015,2,"1
Center for Advanced Media Research Amsterdam, VU University Amsterdam, De Boelelaan 1081, Amsterdam,
Netherlands 2
Department of Communication Science, Media Psychology, VU University Amsterdam, Amsterdam, Netherlands",CS,PSY,,QUAL,elderly care,eldercare,N/A,clinical,HEALTH,LAB,N.R.,N.R.,N.R.,observation,"""several"" elderly women and ""repeat visits""",elderly,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,dutch,Netherlands,Western Europe,,Alice,N/A,N/A,N/A,N/A,physical,interacting,N.R.,N/A,emotional expression,N.R.,N.R.,N.R.,0,1,0,0,1,0,0,exploratory study,,OBSERVATIONS,N.R.,no analysis method specified for qual data,N/A,N/A,N/A,N/A,N.R.,N.R.,0,,0,0,Y,paper makes broad conclusions without really supporting through rigorous analysis but it is relevant to our review
P594,"De Graaf, M. M., Allouch, S. B., & Klamer, T. (2015). Sharing a life with Harvey: Exploring the acceptance of and relationship-building with a social robot. Computers in human behavior, 43, 1-14.","@article{de2015sharing,
  title={Sharing a life with Harvey: Exploring the acceptance of and relationship-building with a social robot},
  author={De Graaf, Maartje Ma and Allouch, Somaya Ben and Klamer, Tineke},
  journal={Computers in human behavior},
  volume={43},
  pages={1--14},
  year={2015},
  publisher={Elsevier}
}",2015,1,"University of Twente, Department of Media, Communication and Organization, Enschede, The Netherlands",CS,,,QUAL,older adults well-being,well-being,N/A,home,SOCIAL,HOME,N.R.,N.R.,6,interview,robot deployed at home and people interviewed after. robot also collected video recordings but those analyzed in another paper,elderly,"50, 76",N.R.,"M2, F4",0,4,2,SEX,dutch,Netherlands,Western Europe,,Nabaztag,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,0,0,exploratory study,,INTERVIEWS,analysis by themes,no analysis method specified for qual data,N/A,N/A,N/A,N/A,"trust, privacy",N.R.,1,,0,0,Y,
P596,"Röning, J., Holappa, J., Kellokumpu, V., Tikanmäki, A., & Pietikäinen, M. (2014). Minotaurus: A system for affective human–robot interaction in smart environments. Cognitive Computation, 6, 940-953.","@article{roning2014minotaurus,
  title={Minotaurus: A system for affective human--robot interaction in smart environments},
  author={R{\""o}ning, Juha and Holappa, Jukka and Kellokumpu, Vili and Tikanm{\""a}ki, Antti and Pietik{\""a}inen, Matti},
  journal={Cognitive Computation},
  volume={6},
  pages={940--953},
  year={2014},
  publisher={Springer}
}",2014,0,"Infotech and Department of Computer Science and Engineering,
University of Oulu, P.O. Box 4500, Oulu, Finland",CS,,,SYSTEM,N/A,N/A,N/A,N.R.,OTHER,N/A,N/A,N/A,N/A,N/A,N/A,general,N/A,N/A,N/A,0,0,0,N/A,"finnish, english",Finland,Northern Europe,,Minotaurus,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N.R.,N.R.,emotion recognition,A,1,0,0,1,,0,0,,,N/A,describing the system implementation,,CONTROL SYSTEM,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,"it's an affective system that they motivate by being for healthcare eventually, but they do not test it in any healthcare context"
P599,"Sun, J. (2014, October). Emotion recognition and expression in therapeutic social robot design. In Proceedings of the second international conference on Human-agent interaction (pp. 197-200).","@inproceedings{sun2014emotion,
  title={Emotion recognition and expression in therapeutic social robot design},
  author={Sun, Jie},
  booktitle={Proceedings of the second international conference on Human-agent interaction},
  pages={197--200},
  year={2014}
}",2014,1,"Keio-NUS CUTE Center,
National University of Singapore, Department of Mechanical
Engineering,
National University of Singapore",ENG,,,SYSTEM,N.R. ,N.R.,N.R. ,therapeutic social robot,THER,N/A,N/A,N/A,N/A,N/A,N/A,mixed,N/A,N/A,N/A,0,0,0,N/A,N/A,Singapore,South-eastern Asia ,,CUSTOM,N/A,N/A,N/A,N/A,physical,interacting,N.R.,N/A,N/A,N/A,emotion recognition by tactile sensor,A,1,1,0,1,,0,0,,,ALG_PERFORMANCES,algorithm performance,,ML,user-centred,N/A,N/A,N/A,N/A,0,,0,0,Y,
P600,"Baroni, I., Nalin, M., Zelati, M. C., Oleari, E., & Sanna, A. (2014, August). Designing motivational robot: how robots might motivate children to eat fruits and vegetables. In The 23rd IEEE International Symposium on Robot and Human Interactive Communication (pp. 796-801). IEEE.","@inproceedings{baroni2014designing,
  title={Designing motivational robot: how robots might motivate children to eat fruits and vegetables},
  author={Baroni, Ilaria and Nalin, Marco and Zelati, Mattia Coti and Oleari, Elettra and Sanna, Alberto},
  booktitle={The 23rd IEEE International Symposium on Robot and Human Interactive Communication},
  pages={796--801},
  year={2014},
  organization={IEEE}
}",2014,1,"Fondazione Centro San Raffaele, Italy",MED,,,QUANT,eating more fruits,eating,N/A,behaviour change,PSYCH,LAB,1,SINGLE,80,between-subject,,children,"8, 9",N.R,"M44, F36",0,36,44,N.R.,N.R. ,Italy,Southern Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,WoZ,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,0,1,empirical study,"""speech accommodation theory"" (SAT) to design utterances",QUESTIONNAIRES,quantity of fruit child promises to eat (behavioural intention),,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P601,"Baroni, I., Nalin, M., Baxter, P., Pozzi, C., Oleari, E., Sanna, A., & Belpaeme, T. (2014, August). What a robotic companion could do for a diabetic child. In The 23rd IEEE international symposium on robot and human interactive communication (pp. 936-941). IEEE.","@inproceedings{baroni2014robotic,
  title={What a robotic companion could do for a diabetic child},
  author={Baroni, Ilaria and Nalin, Marco and Baxter, Paul and Pozzi, Clara and Oleari, Elettra and Sanna, Alberto and Belpaeme, Tony},
  booktitle={The 23rd IEEE international symposium on robot and human interactive communication},
  pages={936--941},
  year={2014},
  organization={IEEE}
}",2014,1,"Fondazione Centro San Raffaele, via Olgettina 60, 20132
Milano, Italy",MED,,,QUAL,N/A,N/A,N/A,robotic companion for children with diabetes,HEALTH,N/A,1,SINGLE,"22 families (children = 32, adults = 38), 5 clinicians",focus group,,diabetes,"5, 13",N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R. ,Italy,Southern Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,WoZ,touchscreen,N/A,N/A,N/A,N/A,0,1,0,0,0,1,N/A,focus group with different stakeholders,,FOCUS GROUP,"qualitative analysis of focus groups, and review of results with clinicians",,N/A,user-centred,N/A,N/A,N/A,N/A,0,,0,0,Y,
